M	A	Rank	Composite
Z98747.1	0	0	27241.6698113208	Z98747.1: 27241.6698113208
LINC01646	0	2.82158285154806e-06	27241.6698113208	LINC01646: 27241.6698113208
AJAP1	0.000184711656136048	0.0188512220829898	18810.2547169811	AJAP1: 18810.2547169811
Z98886.1	1.35372258135166e-07	0.000488899592483096	27056.1320754717	Z98886.1: 27056.1320754717
BX005132.1	0	0	27241.6698113208	BX005132.1: 27241.6698113208
LINC02781	0	6.40894175553733e-06	27241.6698113208	LINC02781: 27241.6698113208
LINC02782	0	4.13543551305247e-06	27241.6698113208	LINC02782: 27241.6698113208
AL139823.1	0	5.27390202555932e-05	27241.6698113208	AL139823.1: 27241.6698113208
Z98259.3	0	2.2836266701163e-05	27241.6698113208	Z98259.3: 27241.6698113208
Z98259.2	0	0	27241.6698113208	Z98259.2: 27241.6698113208
Z98259.1	0	0	27241.6698113208	Z98259.1: 27241.6698113208
AL365255.1	0	4.13543551305247e-06	27241.6698113208	AL365255.1: 27241.6698113208
NPHP4	0.00198064237359838	0.136309380983472	9206.07547169811	NPHP4: 9206.07547169811
KCNAB2	0.00131073625920694	0.0776044382210829	10650.6037735849	KCNAB2: 10650.6037735849
CHD5	0.000762384064162192	0.0786665777460946	12745.0754716981	CHD5: 12745.0754716981
RPL22	0.0644090829705075	5.35798094816751	162.867924528302	RPL22: 162.867924528302
AL031847.1	0.000139306486984035	0.00825839283290811	20128.6132075472	AL031847.1: 20128.6132075472
RNF207	0.00132361410681259	0.147176938513797	10788.6037735849	RNF207: 10788.6037735849
ICMT	0.00531094454486991	0.422327816389937	5165.18867924528	ICMT: 5165.18867924528
LINC00337	4.81793681676351e-05	0.00297053109418536	22802.1981132075	LINC00337: 22802.1981132075
HES3	0	0	27241.6698113208	HES3: 27241.6698113208
GPR153	0.000262756830656449	0.0238267782969941	16720.820754717	GPR153: 16720.820754717
ACOT7	0.00257334814423266	0.159406234056003	8288.50943396226	ACOT7: 8288.50943396226
AL031848.2	0.000345627675380673	0.0251433861392146	14744.7547169811	AL031848.2: 14744.7547169811
HES2	4.31688915237936e-05	0.00678738357423437	23423	HES2: 23423
ESPN	5.91530507488833e-05	0.00378627405570341	22811.2358490566	ESPN: 22811.2358490566
AL031848.1	0	2.3340104698665e-05	27241.6698113208	AL031848.1: 27241.6698113208
TNFRSF25	0.000235486515619457	0.0109714285987349	17712.7169811321	TNFRSF25: 17712.7169811321
PLEKHG5	0.000351007668022726	0.0244070334223328	14955.179245283	PLEKHG5: 14955.179245283
NOL9	0.00216703383867202	0.18661783372156	8847.7358490566	NOL9: 8847.7358490566
TAS1R1	1.05590361784593e-06	0.000383282912098099	26876.0660377359	TAS1R1: 26876.0660377359
ZBTB48	0.00235604503243957	0.141960251217265	8380.75471698113	ZBTB48: 8380.75471698113
KLHL21	0.00170792832418707	0.120221838301317	9596	KLHL21: 9596
PHF13	0.00140827816736725	0.119893109545376	10534.4528301887	PHF13: 10534.4528301887
THAP3	0.0039154097076882	0.261532075165817	6706.49056603774	THAP3: 6706.49056603774
DNAJC11	0.00301140774438943	0.195997522947446	7450.32075471698	DNAJC11: 7450.32075471698
LINC01672	3.54858863478181e-07	0.000442884828620074	26872.4150943396	LINC01672: 26872.4150943396
AL591163.1	6.93949520857815e-06	0.00111076655766944	25741.7452830189	AL591163.1: 25741.7452830189
CAMTA1-DT	8.45783586991105e-05	0.00563639111922727	21497.8490566038	CAMTA1-DT: 21497.8490566038
CAMTA1	0.0210863009513271	1.32279293309232	1275.8679245283	CAMTA1: 1275.8679245283
AL512330.1	0	0	27241.6698113208	AL512330.1: 27241.6698113208
CAMTA1-IT1	4.72297777631569e-05	0.0041718428725754	23931.2075471698	CAMTA1-IT1: 23931.2075471698
Z97987.1	0	0.000101324993508424	27241.6698113208	Z97987.1: 27241.6698113208
AL365194.1	0	1.08440762191224e-05	27241.6698113208	AL365194.1: 27241.6698113208
AL359881.3	3.35502096900194e-06	0.000863165153593854	26505.1886792453	AL359881.3: 26505.1886792453
AL359881.2	3.41062086062711e-06	0.000960786067014665	26495.858490566	AL359881.2: 26495.858490566
AL359881.1	1.12990190822725e-05	0.00127304879994093	26089.0283018868	AL359881.1: 26089.0283018868
VAMP3	0.011397370880095	0.830485168264206	2588.24528301887	VAMP3: 2588.24528301887
Z98884.2	2.22055589035365e-05	0.00174490006908829	25334.2735849057	Z98884.2: 25334.2735849057
PER3	0.00449730780079912	0.385013853760635	5576.66037735849	PER3: 5576.66037735849
Z98884.1	3.1867574645098e-06	0.00117423434324828	26290.1603773585	Z98884.1: 26290.1603773585
UTS2	8.51025350074682e-05	0.00385750928529098	23516.6320754717	UTS2: 23516.6320754717
TNFRSF9	8.87008035491544e-05	0.0078205977532478	21537.4528301887	TNFRSF9: 21537.4528301887
PARK7	0.0461561157977982	3.57421298161353	299.622641509434	PARK7: 299.622641509434
AL034417.4	9.35700658197837e-05	0.00644206639493008	21367.8018867925	AL034417.4: 21367.8018867925
AL034417.3	0.000142485791524341	0.0138890059712732	18890.5566037736	AL034417.3: 18890.5566037736
ERRFI1	0.00825900370270308	0.601708328837272	3446.16981132075	ERRFI1: 3446.16981132075
AL034417.2	0.000183728173927346	0.0175509021175194	18237.6509433962	AL034417.2: 18237.6509433962
LINC01714	1.2714368178057e-05	0.0032801699060379	24878.7735849057	LINC01714: 24878.7735849057
AL358876.2	1.08701196401339e-07	3.37114834372639e-05	27064.6226415094	AL358876.2: 27064.6226415094
SLC45A1	0.000663727570002568	0.0594684940094422	12896.6509433962	SLC45A1: 12896.6509433962
RERE	0.0074886447148723	0.686881681841193	3452.03773584906	RERE: 3452.03773584906
RERE-AS1	7.22736461042489e-05	0.00479275705397521	21699.7830188679	RERE-AS1: 21699.7830188679
AL357552.2	2.65243355249749e-06	0.000455778093638931	26343.2547169811	AL357552.2: 26343.2547169811
ENO1	0.0567730470996872	4.34325041514432	210	ENO1: 210
ENO1-AS1	0.00111212157569068	0.0561082879892797	11444.0377358491	ENO1-AS1: 11444.0377358491
CA6	0	6.55034518134589e-05	27241.6698113208	CA6: 27241.6698113208
SLC2A7	0	5.07406871811265e-06	27241.6698113208	SLC2A7: 27241.6698113208
SLC2A5	6.19136921883957e-05	0.00682536767347539	22511.5566037736	SLC2A5: 22511.5566037736
GPR157	0.000450702402686893	0.0402437184116708	14170.4528301887	GPR157: 14170.4528301887
MIR34AHG	0.000594575312185527	0.044291069303294	13463.141509434	MIR34AHG: 13463.141509434
LNCTAM34A	0.000365849270838899	0.0352769970515897	15304.5283018868	LNCTAM34A: 15304.5283018868
H6PD	0.00210150327232125	0.202653171124494	8714.1320754717	H6PD: 8714.1320754717
SPSB1	0.00416704995968951	0.306230393631335	6695.03773584906	SPSB1: 6695.03773584906
BX323043.1	9.40307387846524e-06	0.00101211268435704	25561.7735849057	BX323043.1: 25561.7735849057
LINC02606	8.65300013444142e-05	0.00804592421468469	20271.1320754717	LINC02606: 20271.1320754717
AL928921.1	0	1.22526714987396e-05	27241.6698113208	AL928921.1: 27241.6698113208
SLC25A33	0.00652896073381691	0.45768476091502	4734.41509433962	SLC25A33: 4734.41509433962
TMEM201	0.000990939320951379	0.0689843772605964	12033.679245283	TMEM201: 12033.679245283
PIK3CD	0.0005218929165476	0.0374447466890689	13867.9433962264	PIK3CD: 13867.9433962264
PIK3CD-AS1	8.03619975439791e-08	1.64589905292132e-05	27074.8490566038	PIK3CD-AS1: 27074.8490566038
PIK3CD-AS2	0.00289367913593057	0.170832547473855	7825.62264150943	PIK3CD-AS2: 7825.62264150943
CLSTN1	0.00770044015486998	0.689162465882224	3372.66037735849	CLSTN1: 3372.66037735849
CTNNBIP1	0.00780764901779558	0.514781975815944	3860.03773584906	CTNNBIP1: 3860.03773584906
AL357140.1	0	8.13743451516809e-05	27241.6698113208	AL357140.1: 27241.6698113208
